Producte;Data;Referencia;Des de;A;Quantitat;Signe;Estoc acumulat
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;05/11/2025;MGZ01/SURT/00008;MGZ01/Stock;Customers;170;-1;-261.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;05/11/2025;MGZ01/ENTRA/00008;Vendors;MGZ01/Stock;284;1;23.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;07/11/2025;MGZ01/SURT/00011;MGZ01/Stock;Customers;107;-1;-84.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;07/11/2025;MGZ01/SURT/00010;MGZ01/Stock;Customers;86;-1;-170.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;07/11/2025;MGZ01/ENTRA/00010;Customers;MGZ01/Stock;170;1;0.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;12/11/2025;MGZ01/SURT/00014;MGZ01/Stock;Customers;85;-1;-85.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;12/11/2025;MGZ01/SURT/00013;MGZ01/Stock;Customers;93;-1;-178.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;12/11/2025;MGZ01/SURT/00012;MGZ01/Stock;Customers;95;-1;-273.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;12/11/2025;MGZ01/ENTRA/00011;Vendors;MGZ01/Stock;273;1;0.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;20/11/2025;MGZ01/SURT/00017;MGZ01/Stock;Customers;104;-1;-104.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;20/11/2025;MGZ01/SURT/00016;MGZ01/Stock;Customers;80;-1;-184.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;20/11/2025;MGZ01/SURT/00015;MGZ01/Stock;Customers;86;-1;-270.0
[PB20000-W]  Nom: Xiaomi Redmi Power Bank 20000 mAh 18W Fast Charge Blau;20/11/2025;MGZ01/ENTRA/00013;Vendors;MGZ01/Stock;270;1;0.0
[SDU3] SanDisk Ultra - 64GB (Negro);17/10/2025;MGZ01/SURT/00001;MGZ01/Stock;Customers;87;-1;-87.0
[SDU3] SanDisk Ultra - 64GB (Negro);17/10/2025;MGZ01/ENTRA/00001;Vendors;MGZ01/Stock;87;1;0.0
[SDU3] SanDisk Ultra - 64GB (Negro);23/10/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;77;-1;-77.0
[SDU3] SanDisk Ultra - 64GB (Negro);23/10/2025;MGZ01/SURT/00003;MGZ01/Stock;Customers;88;-1;-165.0
[SDU3] SanDisk Ultra - 64GB (Negro);23/10/2025;MGZ01/SURT/00002;MGZ01/Stock;Customers;97;-1;-262.0
[SDU3] SanDisk Ultra - 64GB (Negro);23/10/2025;MGZ01/ENTRA/00004;Vendors;MGZ01/Stock;262;1;0.0
[SDU3] SanDisk Ultra - 64GB (Negro);29/10/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;102;-1;-102.0
[SDU3] SanDisk Ultra - 64GB (Negro);29/10/2025;MGZ01/SURT/00006;MGZ01/Stock;Customers;95;-1;-197.0
[SDU3] SanDisk Ultra - 64GB (Negro);29/10/2025;MGZ01/SURT/00005;MGZ01/Stock;Customers;58;-1;-255.0
[SDU3] SanDisk Ultra - 64GB (Negro);29/10/2025;MGZ01/ENTRA/00007;Vendors;MGZ01/Stock;255;1;0.0
[SDU3] SanDisk Ultra - 64GB (Negro);05/11/2025;MGZ01/SURT/00009;MGZ01/Stock;Customers;89;-1;-89.0
[SDU3] SanDisk Ultra - 64GB (Negro);05/11/2025;MGZ01/SURT/00008;MGZ01/Stock;Customers;115;-1;-204.0
[SDU3] SanDisk Ultra - 64GB (Negro);05/11/2025;MGZ01/ENTRA/00009;Vendors;MGZ01/Stock;277;1;73.0
[SDU3] SanDisk Ultra - 64GB (Negro);07/11/2025;MGZ01/SURT/00011;MGZ01/Stock;Customers;115;-1;-42.0
[SDU3] SanDisk Ultra - 64GB (Negro);07/11/2025;MGZ01/SURT/00010;MGZ01/Stock;Customers;73;-1;-115.0
[SDU3] SanDisk Ultra - 64GB (Negro);07/11/2025;MGZ01/ENTRA/00010;Customers;MGZ01/Stock;115;1;0.0
[SDU3] SanDisk Ultra - 64GB (Negro);12/11/2025;MGZ01/SURT/00014;MGZ01/Stock;Customers;85;-1;-85.0
[SDU3] SanDisk Ultra - 64GB (Negro);12/11/2025;MGZ01/SURT/00013;MGZ01/Stock;Customers;98;-1;-183.0
[SDU3] SanDisk Ultra - 64GB (Negro);12/11/2025;MGZ01/SURT/00012;MGZ01/Stock;Customers;70;-1;-253.0
[SDU3] SanDisk Ultra - 64GB (Negro);12/11/2025;MGZ01/ENTRA/00012;Vendors;MGZ01/Stock;253;1;0.0
[SDU3] SanDisk Ultra - 64GB (Negro);20/11/2025;MGZ01/SURT/00017;MGZ01/Stock;Customers;82;-1;-82.0
[SDU3] SanDisk Ultra - 64GB (Negro);20/11/2025;MGZ01/SURT/00016;MGZ01/Stock;Customers;84;-1;-166.0
[SDU3] SanDisk Ultra - 64GB (Negro);20/11/2025;MGZ01/SURT/00015;MGZ01/Stock;Customers;75;-1;-241.0
[SDU3] SanDisk Ultra - 64GB (Negro);20/11/2025;MGZ01/ENTRA/00014;Vendors;MGZ01/Stock;241;1;0.0
[TCB355] Teclat Bluetooth Compact HP 355;17/10/2025;MGZ01/SURT/00001;MGZ01/Stock;Customers;90;-1;-90.0
[TCB355] Teclat Bluetooth Compact HP 355;17/10/2025;MGZ01/ENTRA/00002;Vendors;MGZ01/Stock;90;1;0.0
[TCB355] Teclat Bluetooth Compact HP 355;23/10/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;68;-1;-68.0
[TCB355] Teclat Bluetooth Compact HP 355;23/10/2025;MGZ01/SURT/00003;MGZ01/Stock;Customers;91;-1;-159.0
[TCB355] Teclat Bluetooth Compact HP 355;23/10/2025;MGZ01/SURT/00002;MGZ01/Stock;Customers;86;-1;-245.0
[TCB355] Teclat Bluetooth Compact HP 355;23/10/2025;MGZ01/ENTRA/00003;Vendors;MGZ01/Stock;245;1;0.0
[TCB355] Teclat Bluetooth Compact HP 355;29/10/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;118;-1;-118.0
[TCB355] Teclat Bluetooth Compact HP 355;29/10/2025;MGZ01/SURT/00006;MGZ01/Stock;Customers;76;-1;-194.0
[TCB355] Teclat Bluetooth Compact HP 355;29/10/2025;MGZ01/SURT/00005;MGZ01/Stock;Customers;80;-1;-274.0
[TCB355] Teclat Bluetooth Compact HP 355;29/10/2025;MGZ01/ENTRA/00005;Vendors;MGZ01/Stock;274;1;0.0
[TCB355] Teclat Bluetooth Compact HP 355;05/11/2025;MGZ01/SURT/00009;MGZ01/Stock;Customers;107;-1;-107.0
[TCB355] Teclat Bluetooth Compact HP 355;05/11/2025;MGZ01/SURT/00008;MGZ01/Stock;Customers;102;-1;-209.0
[TCB355] Teclat Bluetooth Compact HP 355;05/11/2025;MGZ01/ENTRA/00008;Vendors;MGZ01/Stock;280;1;71.0
[TCB355] Teclat Bluetooth Compact HP 355;07/11/2025;MGZ01/SURT/00011;MGZ01/Stock;Customers;102;-1;-31.0
[TCB355] Teclat Bluetooth Compact HP 355;07/11/2025;MGZ01/SURT/00010;MGZ01/Stock;Customers;71;-1;-102.0
[TCB355] Teclat Bluetooth Compact HP 355;07/11/2025;MGZ01/ENTRA/00010;Customers;MGZ01/Stock;102;1;0.0
[TCB355] Teclat Bluetooth Compact HP 355;12/11/2025;MGZ01/SURT/00014;MGZ01/Stock;Customers;95;-1;-95.0
[TCB355] Teclat Bluetooth Compact HP 355;12/11/2025;MGZ01/SURT/00013;MGZ01/Stock;Customers;94;-1;-189.0
[TCB355] Teclat Bluetooth Compact HP 355;12/11/2025;MGZ01/SURT/00012;MGZ01/Stock;Customers;73;-1;-262.0
[TCB355] Teclat Bluetooth Compact HP 355;12/11/2025;MGZ01/ENTRA/00011;Vendors;MGZ01/Stock;262;1;0.0
[TCB355] Teclat Bluetooth Compact HP 355;20/11/2025;MGZ01/SURT/00017;MGZ01/Stock;Customers;92;-1;-92.0
[TCB355] Teclat Bluetooth Compact HP 355;20/11/2025;MGZ01/SURT/00016;MGZ01/Stock;Customers;93;-1;-185.0
[TCB355] Teclat Bluetooth Compact HP 355;20/11/2025;MGZ01/SURT/00015;MGZ01/Stock;Customers;62;-1;-247.0
[TCB355] Teclat Bluetooth Compact HP 355;20/11/2025;MGZ01/ENTRA/00013;Vendors;MGZ01/Stock;247;1;0.0
