Producte;Data;Referencia;Des de;A;Quantitat;Signe;Estoc acumulat
Gel hidroalcohòlic higienitzant de mans;20/11/2025;MGZ01/ENTRA/00024;Vendors;MGZ01/Stock;1143;1;36.0
Gel hidroalcohòlic higienitzant de mans;20/11/2025;MGZ01/SURT/00016;MGZ01/Stock;Customers;305;-1;-269.0
Gel hidroalcohòlic higienitzant de mans;20/11/2025;MGZ01/SURT/00015;MGZ01/Stock;Customers;408;-1;-677.0
Gel hidroalcohòlic higienitzant de mans;20/11/2025;MGZ01/SURT/00014;MGZ01/Stock;Customers;430;-1;-1107.0
Guants higiènics d'un sol ús de nitril;03/11/2025;MGZ01/ENTRA/00012;Vendors;MGZ01/Stock;396;1;396.0
Guants higiènics d'un sol ús de nitril;04/11/2025;MGZ01/ENTRA/00015;Vendors;MGZ01/Stock;295;1;691.0
Guants higiènics d'un sol ús de nitril;04/11/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;295;-1;396.0
Guants higiènics d'un sol ús de nitril;04/11/2025;MGZ01/SURT/00006;MGZ01/Stock;Customers;396;-1;0.0
Guants higiènics d'un sol ús de nitril;04/11/2025;MGZ01/SURT/00005;MGZ01/Stock;Customers;340;-1;-340.0
Guants higiènics d'un sol ús de nitril;04/11/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;390;-1;-730.0
Guants higiènics d'un sol ús de nitril;05/11/2025;MGZ01/ENTRA/00021;Vendors;MGZ01/Stock;336;1;-394.0
Guants higiènics d'un sol ús de nitril;05/11/2025;MGZ01/ENTRA/00019;Vendors;MGZ01/Stock;293;1;-101.0
Guants higiènics d'un sol ús de nitril;05/11/2025;MGZ01/ENTRA/00017;Vendors;MGZ01/Stock;385;1;284.0
Guants higiènics d'un sol ús de nitril;05/11/2025;MGZ01/SURT/00010;MGZ01/Stock;Customers;385;-1;-101.0
Guants higiènics d'un sol ús de nitril;05/11/2025;MGZ01/SURT/00009;MGZ01/Stock;Customers;293;-1;-394.0
Guants higiènics d'un sol ús de nitril;05/11/2025;MGZ01/SURT/00008;MGZ01/Stock;Customers;336;-1;-730.0
Guants higiènics d'un sol ús de nitril;13/11/2025;MGZ01/ENTRA/00023;Vendors;MGZ01/Stock;1037;1;307.0
Guants higiènics d'un sol ús de nitril;14/11/2025;MGZ01/SURT/00013;MGZ01/Stock;Customers;270;-1;37.0
Guants higiènics d'un sol ús de nitril;14/11/2025;MGZ01/SURT/00012;MGZ01/Stock;Customers;417;-1;-380.0
Guants higiènics d'un sol ús de nitril;14/11/2025;MGZ01/SURT/00011;MGZ01/Stock;Customers;350;-1;-730.0
Guants higiènics d'un sol ús de nitril;20/11/2025;MGZ01/ENTRA/00025;Vendors;MGZ01/Stock;1133;1;403.0
Guants higiènics d'un sol ús de nitril;20/11/2025;MGZ01/SURT/00016;MGZ01/Stock;Customers;300;-1;103.0
Guants higiènics d'un sol ús de nitril;20/11/2025;MGZ01/SURT/00015;MGZ01/Stock;Customers;398;-1;-295.0
Guants higiènics d'un sol ús de nitril;20/11/2025;MGZ01/SURT/00014;MGZ01/Stock;Customers;435;-1;-730.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;03/11/2025;MGZ01/ENTRA/00011;Vendors;MGZ01/Stock;403;1;403.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;04/11/2025;MGZ01/ENTRA/00014;Vendors;MGZ01/Stock;294;1;697.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;04/11/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;294;-1;403.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;04/11/2025;MGZ01/SURT/00006;MGZ01/Stock;Customers;403;-1;0.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;04/11/2025;MGZ01/SURT/00005;MGZ01/Stock;Customers;357;-1;-357.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;04/11/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;385;-1;-742.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;05/11/2025;MGZ01/ENTRA/00020;Vendors;MGZ01/Stock;339;1;-403.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;05/11/2025;MGZ01/ENTRA/00018;Vendors;MGZ01/Stock;316;1;-87.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;05/11/2025;MGZ01/ENTRA/00016;Vendors;MGZ01/Stock;393;1;306.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;05/11/2025;MGZ01/SURT/00010;MGZ01/Stock;Customers;393;-1;-87.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;05/11/2025;MGZ01/SURT/00009;MGZ01/Stock;Customers;316;-1;-403.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;05/11/2025;MGZ01/SURT/00008;MGZ01/Stock;Customers;339;-1;-742.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;13/11/2025;MGZ01/ENTRA/00022;Vendors;MGZ01/Stock;1044;1;302.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;14/11/2025;MGZ01/SURT/00013;MGZ01/Stock;Customers;274;-1;28.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;14/11/2025;MGZ01/SURT/00012;MGZ01/Stock;Customers;459;-1;-431.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;14/11/2025;MGZ01/SURT/00011;MGZ01/Stock;Customers;311;-1;-742.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;20/11/2025;MGZ01/ENTRA/00024;Vendors;MGZ01/Stock;1087;1;345.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;20/11/2025;MGZ01/SURT/00016;MGZ01/Stock;Customers;322;-1;23.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;20/11/2025;MGZ01/SURT/00015;MGZ01/Stock;Customers;383;-1;-360.0
Kit de test ràpid d’antígens per a la detecció de COVID-19;20/11/2025;MGZ01/SURT/00014;MGZ01/Stock;Customers;382;-1;-742.0
Mascarilla quirúrgica higiènica de 3 capes;03/11/2025;MGZ01/ENTRA/00012;Vendors;MGZ01/Stock;421;1;421.0
Mascarilla quirúrgica higiènica de 3 capes;04/11/2025;MGZ01/ENTRA/00015;Vendors;MGZ01/Stock;297;1;718.0
Mascarilla quirúrgica higiènica de 3 capes;04/11/2025;MGZ01/ENTRA/00013;Vendors;MGZ01/Stock;1;1;719.0
Mascarilla quirúrgica higiènica de 3 capes;04/11/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;297;-1;422.0
Mascarilla quirúrgica higiènica de 3 capes;04/11/2025;MGZ01/SURT/00006;MGZ01/Stock;Customers;422;-1;0.0
Mascarilla quirúrgica higiènica de 3 capes;04/11/2025;MGZ01/SURT/00005;MGZ01/Stock;Customers;342;-1;-342.0
Mascarilla quirúrgica higiènica de 3 capes;04/11/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;368;-1;-710.0
Mascarilla quirúrgica higiènica de 3 capes;05/11/2025;MGZ01/ENTRA/00021;Vendors;MGZ01/Stock;344;1;-366.0
Mascarilla quirúrgica higiènica de 3 capes;05/11/2025;MGZ01/ENTRA/00019;Vendors;MGZ01/Stock;291;1;-75.0
Mascarilla quirúrgica higiènica de 3 capes;05/11/2025;MGZ01/ENTRA/00017;Vendors;MGZ01/Stock;376;1;301.0
Mascarilla quirúrgica higiènica de 3 capes;05/11/2025;MGZ01/SURT/00010;MGZ01/Stock;Customers;376;-1;-75.0
Mascarilla quirúrgica higiènica de 3 capes;05/11/2025;MGZ01/SURT/00009;MGZ01/Stock;Customers;291;-1;-366.0
Mascarilla quirúrgica higiènica de 3 capes;05/11/2025;MGZ01/SURT/00008;MGZ01/Stock;Customers;344;-1;-710.0
Mascarilla quirúrgica higiènica de 3 capes;13/11/2025;MGZ01/ENTRA/00023;Vendors;MGZ01/Stock;1071;1;361.0
Mascarilla quirúrgica higiènica de 3 capes;14/11/2025;MGZ01/SURT/00013;MGZ01/Stock;Customers;298;-1;63.0
Mascarilla quirúrgica higiènica de 3 capes;14/11/2025;MGZ01/SURT/00012;MGZ01/Stock;Customers;422;-1;-359.0
Mascarilla quirúrgica higiènica de 3 capes;14/11/2025;MGZ01/SURT/00011;MGZ01/Stock;Customers;351;-1;-710.0
Mascarilla quirúrgica higiènica de 3 capes;20/11/2025;MGZ01/ENTRA/00025;Vendors;MGZ01/Stock;1143;1;433.0
Mascarilla quirúrgica higiènica de 3 capes;20/11/2025;MGZ01/SURT/00016;MGZ01/Stock;Customers;329;-1;104.0
Mascarilla quirúrgica higiènica de 3 capes;20/11/2025;MGZ01/SURT/00015;MGZ01/Stock;Customers;392;-1;-288.0
Mascarilla quirúrgica higiènica de 3 capes;20/11/2025;MGZ01/SURT/00014;MGZ01/Stock;Customers;422;-1;-710.0
