Producte;Data;Referencia;Des de;A;Quantitat;Signe;Estoc acumulat
[9644056] Allargament extensible alumini 1 m;13/11/2025;MGZ01/ENTRA/00010;Vendors;MGZ01/Stock;290;1;5.0
[9644056] Allargament extensible alumini 1 m;14/11/2025;MGZ01/SURT/00013;MGZ01/Stock;Customers;97;-1;-92.0
[9644056] Allargament extensible alumini 1 m;14/11/2025;MGZ01/SURT/00012;MGZ01/Stock;Customers;76;-1;-168.0
[9644056] Allargament extensible alumini 1 m;14/11/2025;MGZ01/SURT/00011;MGZ01/Stock;Customers;117;-1;-285.0
[9644056] Allargament extensible alumini 1 m;19/11/2025;MGZ01/ENTRA/00015;Vendors;MGZ01/Stock;33;1;-252.0
[9644056] Allargament extensible alumini 1 m;19/11/2025;MGZ01/ENTRA/00014;Vendors;MGZ01/Stock;238;1;-14.0
[9644056] Allargament extensible alumini 1 m;19/11/2025;MGZ01/ENTRA/00013;Vendors;MGZ01/Stock;238;1;224.0
[9644056] Allargament extensible alumini 1 m;19/11/2025;MGZ01/SURT/00015;MGZ01/Stock;Customers;82;-1;142.0
[9644056] Allargament extensible alumini 1 m;19/11/2025;MGZ01/SURT/00014;MGZ01/Stock;Vendors;238;-1;-96.0
[9644056] Allargament extensible alumini 1 m;21/11/2025;MGZ01/SURT/00017;MGZ01/Stock;Customers;92;-1;-188.0
[9644056] Allargament extensible alumini 1 m;21/11/2025;MGZ01/SURT/00016;MGZ01/Stock;Customers;97;-1;-285.0
[9644096] Rodet façanes 22 cm x ø50 mm;24/10/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;111;-1;-111.0
[9644096] Rodet façanes 22 cm x ø50 mm;24/10/2025;MGZ01/SURT/00003;MGZ01/Stock;Customers;96;-1;-207.0
[9644096] Rodet façanes 22 cm x ø50 mm;29/10/2025;MGZ01/ENTRA/00006;Vendors;MGZ01/Stock;241;1;34.0
[9644096] Rodet façanes 22 cm x ø50 mm;29/10/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;73;-1;-39.0
[9644096] Rodet façanes 22 cm x ø50 mm;29/10/2025;MGZ01/SURT/00006;MGZ01/Stock;Customers;95;-1;-134.0
[9644096] Rodet façanes 22 cm x ø50 mm;29/10/2025;MGZ01/SURT/00005;MGZ01/Stock;Customers;73;-1;-207.0
[9644096] Rodet façanes 22 cm x ø50 mm;06/11/2025;MGZ01/ENTRA/00007;Vendors;MGZ01/Stock;284;1;77.0
[9644096] Rodet façanes 22 cm x ø50 mm;06/11/2025;MGZ01/SURT/00010;MGZ01/Stock;Customers;101;-1;-24.0
[9644096] Rodet façanes 22 cm x ø50 mm;06/11/2025;MGZ01/SURT/00009;MGZ01/Stock;Customers;81;-1;-105.0
[9644096] Rodet façanes 22 cm x ø50 mm;06/11/2025;MGZ01/SURT/00008;MGZ01/Stock;Customers;102;-1;-207.0
[9644096] Rodet façanes 22 cm x ø50 mm;13/11/2025;MGZ01/ENTRA/00011;Vendors;MGZ01/Stock;265;1;58.0
[9644096] Rodet façanes 22 cm x ø50 mm;14/11/2025;MGZ01/SURT/00013;MGZ01/Stock;Customers;93;-1;-35.0
[9644096] Rodet façanes 22 cm x ø50 mm;14/11/2025;MGZ01/SURT/00012;MGZ01/Stock;Customers;90;-1;-125.0
[9644096] Rodet façanes 22 cm x ø50 mm;14/11/2025;MGZ01/SURT/00011;MGZ01/Stock;Customers;82;-1;-207.0
[9644096] Rodet façanes 22 cm x ø50 mm;19/11/2025;MGZ01/ENTRA/00016;Vendors;MGZ01/Stock;268;1;61.0
[9644096] Rodet façanes 22 cm x ø50 mm;19/11/2025;MGZ01/SURT/00015;MGZ01/Stock;Customers;83;-1;-22.0
[9644096] Rodet façanes 22 cm x ø50 mm;21/11/2025;MGZ01/ENTRA/00017;Vendors;MGZ01/Stock;2;1;-20.0
[9644096] Rodet façanes 22 cm x ø50 mm;21/11/2025;MGZ01/SURT/00017;MGZ01/Stock;Customers;85;-1;-105.0
[9644096] Rodet façanes 22 cm x ø50 mm;21/11/2025;MGZ01/SURT/00016;MGZ01/Stock;Customers;102;-1;-207.0
[97140MB] Rodet ferro i metalls pro tefló 15 cm x ø30 mm;24/10/2025;MGZ01/SURT/00004;MGZ01/Stock;Customers;107;-1;-107.0
[97140MB] Rodet ferro i metalls pro tefló 15 cm x ø30 mm;24/10/2025;MGZ01/SURT/00003;MGZ01/Stock;Customers;76;-1;-183.0
[97140MB] Rodet ferro i metalls pro tefló 15 cm x ø30 mm;29/10/2025;MGZ01/ENTRA/00006;Vendors;MGZ01/Stock;260;1;77.0
[97140MB] Rodet ferro i metalls pro tefló 15 cm x ø30 mm;29/10/2025;MGZ01/SURT/00007;MGZ01/Stock;Customers;99;-1;-22.0
[97140MB] Rodet ferro i metalls pro tefló 15 cm x ø30 mm;29/10/2025;MGZ01/SURT/00006;MGZ01/Stock;Customers;74;-1;-96.0
[97140MB] Rodet ferro i metalls pro tefló 15 cm x ø30 mm;29/10/2025;MGZ01/SURT/00005;MGZ01/Stock;Customers;87;-1;-183.0
[97140MB] Rodet ferro i metalls pro tefló 15 cm x ø30 mm;06/11/2025;MGZ01/ENTRA/00007;Vendors;MGZ01/Stock;68;1;-115.0
[97140MB] Rodet ferro i metalls pro tefló 15 cm x ø30 mm;06/11/2025;MGZ01/SURT/00010;MGZ01/Stock;Customers;86;-1;-201.0
[97140MB] Rodet ferro i metalls pro tefló 15 cm x ø30 mm;06/11/2025;MGZ01/SURT/00009;MGZ01/Stock;Customers;87;-1;-288.0
[97140MB] Rodet ferro i metalls pro tefló 15 cm x ø30 mm;06/11/2025;MGZ01/SURT/00008;MGZ01/Stock;Customers;113;-1;-401.0
[97140MB] Rodet ferro i metalls pro tefló 15 cm x ø30 mm;13/11/2025;MGZ01/ENTRA/00011;Vendors;MGZ01/Stock;239;1;-162.0
[97140MB] Rodet ferro i metalls pro tefló 15 cm x ø30 mm;14/11/2025;MGZ01/ENTRA/00012;Vendors;MGZ01/Stock;54;1;-108.0
[97140MB] Rodet ferro i metalls pro tefló 15 cm x ø30 mm;14/11/2025;MGZ01/SURT/00013;MGZ01/Stock;Customers;116;-1;-224.0
[97140MB] Rodet ferro i metalls pro tefló 15 cm x ø30 mm;14/11/2025;MGZ01/SURT/00012;MGZ01/Stock;Customers;80;-1;-304.0
[97140MB] Rodet ferro i metalls pro tefló 15 cm x ø30 mm;14/11/2025;MGZ01/SURT/00011;MGZ01/Stock;Customers;97;-1;-401.0
[97140MB] Rodet ferro i metalls pro tefló 15 cm x ø30 mm;19/11/2025;MGZ01/ENTRA/00016;Vendors;MGZ01/Stock;255;1;-146.0
[97140MB] Rodet ferro i metalls pro tefló 15 cm x ø30 mm;19/11/2025;MGZ01/SURT/00015;MGZ01/Stock;Customers;63;-1;-209.0
[97140MB] Rodet ferro i metalls pro tefló 15 cm x ø30 mm;21/11/2025;MGZ01/SURT/00017;MGZ01/Stock;Customers;79;-1;-288.0
[97140MB] Rodet ferro i metalls pro tefló 15 cm x ø30 mm;21/11/2025;MGZ01/SURT/00016;MGZ01/Stock;Customers;113;-1;-401.0
